Annotation,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglial
AQP4,AQP4,NA,NA,0.092971428571429,1.64465,0.0896,0.0864,NA,0.1485,NA,NA,0.1263
CD24,CD24,NA,NA,0.12301,0.01895,0.0302,0.0171,NA,0,NA,NA,0
CD44,CD44,NA,NA,0.030985714285714,0.11115,0.0314,0.0098,NA,0.5723,NA,NA,0.0668
CXCR4,CD184,NA,NA,0,0.0597,0,0.02,NA,0,NA,NA,0.077
Fut4/ssea1,CD15,NA,NA,0,0,0,0,0,0,0,NA,0
HepaCam,HepaCam,NA,NA,0.234,1.6757,0.9858,1.0574,NA,0.1343,NA,NA,0.0714
ITGB1,CD129,NA,NA,0.380783333333333,0.10465,0.3043,0.2693,NA,0.7113,NA,NA,0.1161
NCAM1,CD56,NA,NA,4.67166,5.0768,6.4195,6.0244,NA,1.2092,NA,NA,1.9097
NKX-2,O4,NA,NA,0.017975,0.0097,0.0531,0.5482,NA,0,NA,NA,0
PDGFRA,CD140a,NA,NA,0.02788,0,2.007,0,NA,0,NA,NA,0.0762
PROM1,CD133,NA,NA,0.07882,0.0604,0.1486,0.0076,NA,0.1437,NA,NA,0
SLC1A3,Glast,NA,NA,0.3648,8.8505,1.5543,1.6256,NA,2.3293,NA,NA,2.4095
TFRC,CD71,NA,NA,0.5705,0.28475,0.0301,0.0487,NA,2.1418,NA,NA,0.1897
