Annotation,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglial
AQP4,AQP4,0.0496,NA,0.40205,4.9523,0.736,NA,NA,NA,NA,NA,0.6936
CD24,CD24,7.4073,NA,8.69555,6.4056,6.1173,NA,NA,NA,NA,NA,6.3013
CD44,CD44,0.2266,NA,0.11195,0.3047,0.1734,NA,NA,NA,NA,NA,0.1449
CXCR4,CD184,2.0229,NA,3.25045,3.3801,1.3542,NA,NA,NA,NA,NA,2.2475
Fut4/ssea1,CD15,0.1919,NA,0.2186,0.2645,0.1076,NA,NA,NA,NA,NA,0.5839
HepaCam,HepaCam,0.0348,NA,0.00835,0.4057,0.0747,NA,NA,NA,NA,NA,0
ITGB1,CD129,4.6888,NA,2.5615,4.1947,3.3023,NA,NA,NA,NA,NA,5.3807
NCAM1,CD56,6.2201,NA,7.28175,7.2411,6.8239,NA,NA,NA,NA,NA,5.4445
NKX6-2,O4,0,NA,0.0046,0.02385,0.0407,NA,NA,NA,NA,NA,0
PDGFRA,CD140a,0.2618,NA,0.83605,1.7125,7.3843,NA,NA,NA,NA,NA,1.0154
PROM1,CD133,1.3685,NA,1.36135,2.599,2.7772,NA,NA,NA,NA,NA,1.276
SLC1A3,Glast,5.1596,NA,1.8598,9.9775,5.7583,NA,NA,NA,NA,NA,5.9185
TFRC,CD71,1.8263,NA,1.18866,2.0874,1.1637,NA,NA,NA,NA,NA,1.59
