Ident,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,oligo,RG,Endothelial,Pericyte,Epithelial,Microglia
Aqp4,AQP4,5047.99280747751,1528.12188232958,-4052.42897523383,24026.5205558305,-8870.43083680172,9072.9299896765,NA,NA,NA,NA,NA
Cd24a,CD24,75606.0212092722,50238.6755295372,45544.4076907812,6055.38415925531,86756.8139610868,33283.3800829023,NA,NA,NA,NA,NA
Cd44,CD44,5169.76672583687,140942.888723763,9258.74108610216,184393.084019032,203791.94035089,148335.939769184,NA,NA,NA,NA,NA
Cxcr4,CD184,0,0,0,0,0,0,NA,NA,NA,NA,NA
Fut4,CD15,1554.15055976331,91027.8248306444,45109.6654762774,12462.3468959395,48459.9724078155,6333.3107391163,NA,NA,NA,NA,NA
Hepacam,HepaCAM,76.4998018206502,-269.14522148267,0.911502598590181,1458.30129327071,1413.06610560272,-432.172607652123,NA,NA,NA,NA,NA
Itgb2,CD29,36377.1198595448,15839.1054288322,3675.03376289976,62831.5309298004,54674.9474270222,40381.6574067199,NA,NA,NA,NA,NA
NCAM1,CD56,3682.0864607747,141988.846175394,38350.5664504048,29191.5687635417,124939.592083929,143482.110460663,NA,NA,NA,NA,NA
Nkx6-2,O4,631.437722158593,288.551710554337,37.296881227598,2223.15412421411,14981.0706679142,6531.40911851637,NA,NA,NA,NA,NA
Pdgfra,CD140a,-2599.68998256856,-856.489151666552,-576.022778795114,24598.0667805791,1183.03564610234,-450.126813337393,NA,NA,NA,NA,NA
Prom1,CD133,52477.3816158303,76634.1246410777,755.226089567395,2099.75085575093,44617.8364747365,28638.9874755533,NA,NA,NA,NA,NA
Slc1a3,GLAST,15.0085921441022,2179.27193096849,-195.190118760537,1834.02458488524,4842.29595781756,1374.81359492647,NA,NA,NA,NA,NA
Tfrc,CD71,6028.0317102176,4254.54010769027,5499.12785694798,15850.996126599,4824.0445496112,5395.61328903555,NA,NA,NA,NA,NA
