"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"1","Tuba1a",268.7,1733.6,826.6,1832.9,1015.1,175.4,600.6
"2","Reln",1.2,849,0.4,0.1,0.2,0.1,0.6
"3","Tmsb4x",188.9,779.3,723.6,732.5,1265.1,3852.9,7598.2
"4","Gm1821",346.5,741.5,1004,914.1,944.5,1705.1,1162.8
"5","Tubb2a",372.3,710.8,137.1,77.6,33.2,43.8,48
"6","Sst",2.1,707.2,3.7,0.6,4.1,2.5,2.5
"7","Fos",3526.9,652.9,288.8,73.1,87,985.7,746.1
"8","Npy",0.7,646.5,13.2,1.9,3.2,1.9,2.1
"9","Rtn1",45.6,609.2,216.5,273.1,64.8,30.8,4.8
"10","Tubb2b",267.5,580.2,164.5,238.6,40,17.2,18.9
"11","Nnat",71.7,525.9,286.8,95.3,10.8,4.1,16.9
"12","Ubb",124,524.1,427.1,372.8,366.1,588.2,1589.3
"13","Actg1",449.8,520.9,444.9,432.2,241,1129,764.7
"14","Psap",656,496.6,535.8,482.7,348,1796.5,241.1
"15","Gnas",188.7,494.4,425.7,341.7,323.8,340.7,453.5
"16","Eef1a1",208.9,462.2,695.2,671.5,613.2,1193.8,2228.3
"17","Cpe",1737.8,461.5,641.6,153.4,115.4,45.6,282.9
"18","Uchl1",7,460.2,56.5,30.4,64.6,14.5,65.2
"19","Stmn1",12.1,459.7,28.6,43,171.3,17.2,73.9
"20","Hsp90ab1",167.1,442.7,342.7,401.5,382.1,303.5,541.1
"21","Tubb5",36.2,439.7,216.5,121.9,49.8,191.5,290.5
"22","Basp1",2.4,436.2,115.2,26.5,10.1,159.5,3.2
"23","Cst3",3309.3,430.7,2527,327.7,655.3,49168,721.2
"24","Gm6682",72.4,430.6,237.9,466.2,271,147.3,221.9
"25","Stmn3",8.2,415.7,126.3,32.5,32.4,14.1,7.7
"26","Eef2",147.4,414.1,394,448.3,445.1,856.8,786.1
"27","Meg3",3.4,397.2,18.1,4.5,2,12.5,0.9
"28","Stmn2",3.5,386.7,9.3,1.6,9.4,4.9,19.6
"29","Atp5b",215.6,384.8,423.5,427.6,277,280.6,364.6
"30","Gpm6a",368.8,381.7,409.4,91.5,23.8,4.9,5.2
"31","Slc25a4",136.3,373.8,288.2,223,186,51,145.5
"32","Atp1a3",1.4,351.1,45.9,8.6,14.7,11.5,2.5
"33","Gap43",2.5,347.3,49,7.7,7,2.3,2.2
"34","Rtn3",166.3,346.8,195.9,202.6,215.6,75.9,59.2
"35","Ywhae",172.9,345.2,360.7,373.5,241.4,146.6,235.6
"36","Ndfip1",79.3,334.2,252.2,324.1,130,73.7,216.8
"37","Tubb3",2.1,333.8,13.7,5.6,16.9,5,4.1
"38","Nsg2",5.4,333.7,88.8,18.5,6.5,3.5,3.4
"39","Marcksl1",60.5,325.3,189.4,427.9,448.3,662.5,40.4
"40","Actb",405.6,323.2,536.4,398.4,305.5,1994.4,512.4
"41","Calm2",35.5,317,115.6,54.8,59.7,92.6,128.9
"42","App",58,307.1,139.4,467.8,376.3,36.6,320.1
"43","Calm3",35.5,305.6,126.7,117.9,315.9,87.5,78.6
"44","Snhg11",0.6,303.1,1.5,0.4,0.8,2.4,0.4
"45","Ptms",91.7,302.1,166.7,60.6,61.9,353.4,231.3
"46","Pcp4",0.9,301.9,79.9,24,28.4,13.8,4.1
"47","Fth1",206.5,287.7,407.9,1145,5174.9,3215.4,3223.8
"48","Ndrg4",5.8,287.5,22.7,5.6,11.2,8.7,2.4
"49","Cfl1",145.2,286.5,346.5,403.6,477.9,475.6,409.2
"50","Vamp2",75.5,285.9,94.1,88.8,101.8,60.1,17.1
"51","Sepw1",89.7,285.2,224.4,274.8,535.3,143.6,133.8
"52","Ubc",578.5,284.1,353.8,403.4,612.8,3052.1,934
"53","Ppia",83.4,283.5,179.3,167.3,229.3,263.3,474.5
"54","Ndn",22.9,280.1,88.1,61.5,46.8,3.1,7.6
"55","Rpl8",126.6,277.5,421.2,345.6,288.7,1077.6,908.8
"56","H3f3b",347.7,276.6,187.6,160.4,104.6,282.9,306.9
