"","ident","NKX2-2_mean","NKX6-2_mean","SOX17_mean","SOX10_mean","OLIG1_mean","MYT1_mean"
"1","Radial_Glia",0,0.000474108729749694,0,0.000819844928673339,0.0126971002719645,0.0175247040568927
"2","Oligo",0,0,0,0,0.103664464160526,0.0337424804986916
"3","Neuron",0.000959048031351484,0.000866032671433512,0,0,0.00440333441996239,0.093407644138088
"4","Astrocyte",0.0807783725673641,0.193543955532114,0,0.00544591815515848,0.648789004731937,0.0366105554454164
"5","Endothelial",0.0113641981562377,0.00632171272312033,0,0,0.0076030398959879,0.00578338578211035
"6","Macrophage_Like",0,0.0589644904368861,0,0.00351937240587451,0.0421224230966892,0.00814588212017758
"7","Pericyte",0.0068241465009511,0.00449967136995353,0.0112513007668387,0,0.00907789489219754,0.103079426966513
"8","Epithelial",0.00229704059207516,0.00740756892611665,0,0,0.0171931864241935,0.0123891292449597
"9","Neural_Stem",0,0,0,0,0.0228333038337618,0.0528667164170206
"10","Neural_Plate",0.0179985219951146,0.0121902919851488,0.00195255132937908,0.0081067150643526,0.287163122521129,0.0373249994947481
"11","Neural_Precursor",0,0,0,0,0,0.0389730808567572
