"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"1","NPC",0,0.0311332895361403,0,0,1.22223208112134,1.98874189585831,16.4661108020077,0,0.289321805892632,0.000381848035418223,0,0,0,0.0678555515476979,0,3.12196983681091
"2","Neurons - 1",0,-0.0231819068443136,0,0.000614473996584861,0.0256615430248479,6.0843682095753,18.0140941922013,0,0.249213206760198,0.104378156034309,0,0,0,0,0,9.32648633277909
"3","Neurons - 1",0,-0.0332551472994154,0,0,0.209238340227351,-0.0626991062170946,17.257400276506,0,0.182588025525635,0,0,1,0,0.033756858551028,0,2.88468364253169
"4","Neurons - 2",0,0.0691177243735901,0,0,-0.0605735634917995,6.12395306221414,26.5499180931061,0,0.148520287429455,0.0604642268607566,0,1,0,0,0,4.81004525310158
"5","Radial Glia - 2",0,-0.0194203755893042,0,0.000886569383946813,-0.393064754332987,1.82609377142546,3.35569677327739,0,0.386249431410127,0.0999540730854812,0,0,0,0,0,0.239641234569035
"6","Neurons - 1",0,0.0061191299175001,0,0,0.0142752366310893,2.48009568922283,10.6162276200728,0,0.0362793335919243,0.0177021267484492,0,2,0,0,0,5.27498019023664
"7","NPC",0,-0.00359501281904391,0,0,-0.225114101425148,1.70368506170433,9.83009583259717,0,0.0355601799109583,0.00418176168709911,0,0,0,0.00204830676076982,0,3.58651539295044
"8","Mixed",0,0.00281586645377931,0,0,-0.120807129142235,0.226374930278966,1.28137880184338,0,0.418923112221999,0,0,1,0,0,0,0.373835229217548
"9","NPC",0,0.0303940948801299,0,0,0.207117402470583,2.01288591432534,10.2855235106658,0,0.192831382978676,0.00208105284980869,0,0,0,0.0442896361520904,0,0.611889175000042
"10","Astrocytes",0.166210459601297,0.138387097389659,0,0.0673622295885424,-0.142538257676136,-0.000824157416008893,2.97060711703244,0,3.2913794629673,0,0,1,0,0.00658647392567705,0,3.86545777747703
