"","AQP4","CD24","CD44","CD184","CD15","HepaCam","CD29","CD56","O4","CD140a","CD133","Glast","CD71"
"StemCell",0.00736725048651654,0.499705505260727,0.544688387922076,0.184869880354889,0.212486418433069,0.0428888341138772,0.2515252553916,0.521932796908956,0,0.335765704326741,0.141060789203499,0.203523603418969,0.250695298447768
"NPC",0.0240232953166707,1,0.0301478743068393,0.409554868493499,0.143523920653442,0,0.266407189418391,0.691571015816418,0.764378478664193,0,0.0174346201743462,0.0355208415103222,0.111182565943014
"Neuron",0.0152212288347909,0.991985093963346,0.0524765186374174,0.229460939662169,0.212360514072911,0.051403164245478,0.103424302466813,0.93290827783429,0.0915607899828987,0.0373403340137891,0.140269693796463,0.0167654791978141,0.0829109769738238
"Astrocyte",1,0.121230891718257,0.726725925925926,0.925108225108225,0.164707117363007,1,0.283215359931242,0.895932844528487,0.301844679079265,0.0678928278928279,0.532377978734369,1,0.706863348644852
"OPC",0.286855993947142,0.192602913807031,0.186963423645025,0.0534708398627759,0.333333333333333,0.383830000453219,0.240422180313489,0.787842888467744,0.365620819652195,1,0.885398505603985,0.351597711631393,0.0617267702026849
"Oligo",0,0.139013088366799,0,0.25974025974026,NA,0.614598267157015,0.271408555180087,0.924169433621864,1,0,0.0511440107671602,0.148579374712752,0.00880806932802955
"RG",0.688444073765175,0.271080616325984,0.686365893757743,0.630826156648232,0.189719014868075,0.551809954751131,0.219165232035864,0.747370767161532,0.27382141667856,0.0440205080681861,0.386875363591874,0.571030076818305,0.0841726359119464
"Endothelial",0.137491156101979,0.0334041998487742,0.347153419593346,0.603631075910946,0,0.123854854279055,0.971478598400945,0,0.0817753674896532,0.00401162752804229,0.511071620722426,0.169402209735018,1
"Pericyte",0.214961694456963,0,0.666746765249537,0.506712972766931,0.279379896649442,0.152144196219341,1,0.13349550799603,0.17753674896532,0.0572805662554015,0,0.580888413533244,0.276592434316298
"Epithelial",0,0,0,0.0152070883989285,1,NA,0.0514471318369004,0.407761324677219,NA,0.305523809523809,1,1,0
"Microglial",0.0313923677694291,0.0894102834089546,0.180319247394578,0.599566686308866,0.671986997832972,0.0613820106233402,0.496812426062267,0.0632123655975122,0.333333333333333,0.0313642161996364,0.0155666251556663,0.46134393224709,0.275327107155323
