"","Marker","StemCell","NPC","Neuron","Astrocyte","OPC","Oligo","RG","Endothelial","Pericyte","Epithelial","Microglial"
"1","AQP4",0.00516317809218612,0.00245799593526213,0.0131265268082892,0.317654740602128,0.0945887603125456,0.0143416771794702,0.0478787994139261,0.0300676300318201,0.0105883412456418,0,0.0324980077448355
"2","CD24",1,1,0.787695114625315,0.346794699645339,0.555329349254476,0.00283845694177014,0.76031553205458,0.21483776820083,0.309261903842937,0.880600092797855,0.677618064644769
"3","CD44",0.0129501732645761,0.0166632971195693,0.00600080709228266,0.031143283673638,0.0254571502853212,0.00162671801341212,0.0922134479489344,0.0845341475381262,0.151839129260103,0,0.0593345925075382
"4","CD184",0.144979886868433,0.386863022590153,0.146340598000489,0.196278440611115,0.122285073527458,0.00331983268043291,0.387137327304164,0.476245148805626,0.48126133775908,0.148218796721142,0.387198418517572
"5","CD15",0.011305242063929,0.0197703742325413,0.0105365294241836,0.00805902022541143,0.0193766075758075,0,0.00221061737096722,0,0.0183848598299175,0.0216012785482291,0.0535242512178688
"6","HepaCam",0.00156602270732926,0.00257504336075081,0.0134443925606514,0.0944673797146239,0.072732226545978,0.175519553814488,0.0722608498692394,0.0287787869404725,0.0205205398381515,0,0.0235534841933279
"7","CD129",0.261346232487144,0.346939209823471,0.132140240153417,0.17994746106362,0.216792970404862,0.0447015470420291,0.287711699393539,0.579609254721505,1,0.174923957312987,0.454121389377502
"8","CD56",0.471970386645003,0.815065067727897,0.683271893221087,0.538590035074872,0.790837444627226,1,0.614917042737673,0.251808465341754,0.424434237780951,0.288188895189978,0.518772653817251
"9","O4",0,0.0569914555379393,0.00257530501072606,0.000365327759260307,0.00206791806215437,0.090996613770666,0.00203509348035552,0.00050799495414408,0,0,0.0278619428207882
"10","CD140a",0.0652288330161222,0,0.0270499011170729,0.0565504446442593,0.827570643472295,0,0.0270283859551662,0.00079779073335379,0.0593744773373474,0.0826931999793783,0.0411735207217709
"11","CD133",0.104785497333752,0.0313899913810532,0.0451637681065668,0.112819914490798,0.232766077965594,0.0012615364185645,0.0993639016189225,0.0572693104338484,0.0183462632032627,0.746352528741558,0.0560866803306218
"12","Glast",0.323926088843335,0.139031060130455,0.104405228633342,1,0.460448655664999,0.269836000265587,0.717906000704835,0.430346732126419,0.628803375918278,1,0.863350987502407
"13","CD71",0.123230452784737,0.139148107555943,0.0898435259343835,0.125217455465896,0.0739794738513248,0.00808379257685413,0.124993019776017,0.973167904520671,0.357404762823729,0.0193328865288447,0.250159829943653
