Annotation,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglial
AQP4,AQP4,0,NA,0,NA,NA,NA,0.0107,0,NA,0,0
CD24,CD24,3.3997,NA,5.0165,NA,NA,NA,3.1213,1.7726,NA,1.7081,2.2276
CD44,CD44,0.0178,NA,0.004,NA,NA,NA,0.011,0,NA,0,0
CXCR4,CD184,0.2979,NA,0.2137,NA,NA,NA,0.3183,5.0667,NA,0.2875,0.7855
Fut4/ssea1,CD15,0.0172,NA,0.0125,NA,NA,NA,0.0207,0,NA,0.0419,0
HepaCam,HepaCam,0,NA,0,NA,NA,NA,0,0,NA,0,0
ITGB1,CD129,0.1619,NA,0.1832,NA,NA,NA,0.2582,3.6101,NA,0.3393,0.3189
NCAM1,CD56,0.9737,NA,1.3709,NA,NA,NA,1.1578,0,NA,0.559,0
NKX6-2,O4,0,NA,0,NA,NA,NA,0,0,NA,0,0
PDGFRA,CD140a,0.525,NA,0.0313,NA,NA,NA,0.0315,0,NA,0.1604,0
PROM1,CD133,0.0884,NA,0.0408,NA,NA,NA,0.159,0,NA,1.4477,0
SLC1A3,Glast,0.3525,NA,0.1626,NA,NA,NA,0.4798,0,NA,1.9397,1.085
TFRC,CD71,0.2177,NA,0.1145,NA,NA,NA,0.274,5.2226,NA,0.0375,0.6296
