"","AQP4","CD24","CD44","CD184","CD15","HepaCam","CD29","CD56","O4","CD140a","CD133","Glast","CD71"
"StemCell",0.131975821196484,0.717615135775269,0.16225119143199,0.175806073358664,0.0829764244919245,0.189159055959373,0.601735021217281,0.52782007084224,0.215829898228178,0.42867575108971,0.360806883027108,0.219703303130383,0.337332878094207
"NPC",0.0850295044357863,0.723689128836146,0.287387715806037,0.405746048460729,0.285880980163361,0.0453780076477044,0.316963100948862,0.644410495761799,0.390595912001037,0.0160233879404349,0.275911332268131,0.134064606184164,0.0277956414857534
"Neuron",0.202209965400698,0.855217805350687,0.0346989801530991,0.270960023318032,0.192218343030706,0.225269866452815,0.0547631243391638,0.733830920266563,0.272890197495725,0.198493672421443,0.0530222053729793,0.0215792519895354,0.286971046236216
"Astrocyte",0.742507484630322,0.0772759543066543,0.807826951467935,0.640624823620214,0.243776880945702,0.807914985434182,0.67065799317198,0.425163185126486,0.112029195928876,0.388761354123253,0.521773352587749,0.900470481797149,0.618148087413014
"OPC",0.106561425591808,0.413841511335642,0.405080224849848,0.0467354199313879,0.388422412521827,0.619318837719632,0.379396003871019,0.771546754985859,0.455206939884065,0.713027421852139,0.490900048386195,0.49654788949369,0.0419917067122038
"Oligo",0.176873133945878,0.202225004340749,0.187890454784989,0.314935064935065,0.164686624179585,0.321240905491743,0.379069698979981,0.602418548704863,0.811523254433325,0.234825936861467,0.315275387271942,0.193806976628496,0.137269189874777
"RG",0.424232714963233,0.181060993063126,0.323283454309138,0.793900270953173,0.408710018684298,0.41795625091502,0.382417085461949,0.264315434092196,0.24534779049167,0.0612932291549238,0.480046067596606,0.616905563914204,0.471460603700696
"Endothelial",0.0560810110443004,0.221871657712387,0.253827867810575,0.628348474641592,0.666666666666667,0.0813109841513816,0.531025747795878,0.0607719163253776,0.0408876837448266,0.00150496626375105,0.713014409563195,0.0943226833161318,0.714897560354581
"Pericyte",0.109360468241381,0.315600207144944,0.380775522606102,0.27092839541252,0.223059854300179,0.0760720981096705,0.5,0.266419111057939,0.17753674896532,0.0534591823646784,0.136466679257175,0.304170002099488,0.253919002233741
"Epithelial",0.175079661040057,0.181523238863548,0.5,0.0661151609517532,0.753459311288732,0.672842262202695,0.463117877627737,0.333399771837928,NA,0.652761904761905,0.746552439020847,0.603948707637136,0.370236984138919
"Microglial",0.119650233484952,0.0331350076732286,0.158987098231006,0.272147574858591,0.391123437884003,0.118017360407087,0.533871234420117,0.0230800310480757,0.167953667953668,0.0105665767917034,0.0941328084400711,0.204005172667501,0.24669656969799
