,Marker,StemCell,NPC,Neuron,Astrocyte,OPC,Oligo,RG,Endothelial,Pericyte,Epithelial,Microglial
1,AQP4,0.005163178092186,0.002457995935262,0.013126526808289,0.317654740602128,0.094588760312546,0.01434167717947,0.047878799413926,0.03006763003182,0.010588341245642,0,0.032498007744836
2,CD24,1,1,0.787695114625315,0.346794699645339,0.555329349254476,0.00283845694177,0.76031553205458,0.21483776820083,0.309261903842937,0.880600092797855,0.677618064644769
3,CD44,0.012950173264576,0.016663297119569,0.006000807092283,0.031143283673638,0.025457150285321,0.001626718013412,0.092213447948934,0.084534147538126,0.151839129260103,0,0.059334592507538
4,CD184,0.144979886868433,0.386863022590153,0.146340598000489,0.196278440611115,0.122285073527458,0.003319832680433,0.387137327304164,0.476245148805626,0.48126133775908,0.148218796721142,0.387198418517572
5,CD15,0.011305242063929,0.019770374232541,0.010536529424184,0.008059020225411,0.019376607575808,0,0.002210617370967,0,0.018384859829918,0.021601278548229,0.053524251217869
6,HepaCam,0.001566022707329,0.002575043360751,0.013444392560651,0.094467379714624,0.072732226545978,0.175519553814488,0.072260849869239,0.028778786940473,0.020520539838152,0,0.023553484193328
7,CD29,0.261346232487144,0.346939209823471,0.132140240153417,0.17994746106362,0.216792970404862,0.044701547042029,0.287711699393539,0.579609254721505,1,0.174923957312987,0.454121389377502
8,CD56,0.471970386645003,0.815065067727897,0.683271893221087,0.538590035074872,0.790837444627226,1,0.614917042737673,0.251808465341754,0.424434237780951,0.288188895189978,0.518772653817251
9,O4,0,0.056991455537939,0.002575305010726,0.00036532775926,0.002067918062154,0.090996613770666,0.002035093480356,0.000507994954144,0,0,0.027861942820788
10,CD140a,0.065228833016122,0,0.027049901117073,0.056550444644259,0.827570643472295,0,0.027028385955166,0.000797790733354,0.059374477337347,0.082693199979378,0.041173520721771
11,CD133,0.104785497333752,0.031389991381053,0.045163768106567,0.112819914490798,0.232766077965594,0.001261536418565,0.099363901618923,0.057269310433848,0.018346263203263,0.746352528741558,0.056086680330622
12,Glast,0.323926088843335,0.139031060130455,0.104405228633342,1,0.460448655664999,0.269836000265587,0.717906000704835,0.430346732126419,0.628803375918278,1,0.863350987502407
13,CD71,0.123230452784737,0.139148107555943,0.089843525934384,0.125217455465896,0.073979473851325,0.008083792576854,0.124993019776017,0.973167904520671,0.357404762823729,0.019332886528845,0.250159829943653
